post_text,pos
 救命，每天不晒太阳，不宁腿越来越严重了，原来只是小腿，现在大腿也有，白天也有,0
又到了每周日晚固定的焦虑时刻，啊，焦虑。 ​,1
好怕自己会猝死，每天都6点多起来上学，一点多睡，每次都说要早睡，但是就是做不到,1
我焦虑得想哭，教师（笔试面试）、初会、六级（笔试口语）、期末考试、考研（初试复试），怎么能不去想？？我不怕别的就怕没有时间留给我自己，真的怕时间被那些事情夺走。 ​,1
“你正在经历的这一切，你的焦虑、挣扎、你努力去做的调整、改变，你情绪掉下去的那段时间，全都是你生活的累积。在生活达到你想要的样子之前，你得允许它有一个积累的过程。” ​​ ​​​…希望如此！ ​,0
我什么时候才能好,1
 感觉胃里有气很胀 然后搞的我气短要深呼吸才舒服 有没有一样的 怎么办到,1
" 总结了一下最近的症状看大家有没有一样的
1.体温偏高——耳温37.3-37.6 但耳温枪一直显示绿色（没到发烧）
2.四肢酸痛，包括脸颊肉都酸痛
3.胸闷
4.头晕，无力
5.喉咙有异物感（持续）
6.后脖子酸痛（有时候连着后脑勺一起轻微疼痛）
7.每天都很疲倦
8.偶尔会肚子痛",0
这大姐能不能别制造焦虑，我还没参加法考爆发什么丧尸。。 ​,0
 真受不了一点刺激现在又开始胡思乱想了,0
 每天除了担心自己的身体还要担心家人的身体，真的累麻了,0
" 我跟我妈的对话
我妈：把这些吃了
我：不想吃 想吐
我妈：吐出来再说 没吐就给我吃了
我：

我：头晕坐不住 怕自己随时晕倒
我妈：晕了再说 你总想着自己会晕 不晕也晕了 一切都是你的心理作用

我妈：起来运动
我：没精力好累
我妈：一直躺着更累 赶紧起来活动活动

用我妈的话就是，检查了身体没问题了就不管什么症状都不要管他，正常生活，该吃吃该喝喝，不吃不喝不动才会出真的问题，可是好难做到",0
不知道在做什么 不知道能做什么了,0
今儿论文通过学校查重，接下来就去盲审了，希望一切顺利吧。觉得自己是个典型的好了伤疤忘了疼，论文刚消停了两天，就忘了自己关在屋子里没日没夜改论文的时候了，最后别人问起的时候，也就只会轻飘飘的说一句：就是一直改呗。度过了带高三的恐惧期，当时每天焦虑，觉得一群孩子的未来都抗在自己肩头，看到和老教师带的班平均成绩不相上下，心里也算落地了。 再也不想追逐什么了，就想踏踏实实的，把课上好，顺利毕业，顺利考编。如果不是生在罗马，那就还是要对生活十二分努力，才能达到六十分及格线。减少对自己的怜惜，大家都是这样过来的，谁也没有一直光鲜或暗淡。还有就是希望毕业的时候，可以再送自己一件想了很久的毕业礼物。顺遂就好。 收起d,0
肠胃老胀气，应该跟这个毛病有关系吧 怎么解这个东西,0
上班焦虑了 ​,1
这两天怎么突然又有点焦虑了，有点胡思乱想了！明明吃药快好了！焦虑症,2
焦虑死了 ​,1
"这一年
大专休学 不知道明年要不要回去上学 因为明年22岁了上大二 比同班大3.4岁
相亲失败 我俩是休学时候相亲的 才相处10天就结束了 因为他是我喜欢的类型并且我恋爱脑 所以有点走不出去 也怕以后遇不到喜欢的人也遇不到爱情了.
失业，因为是第一次工作 干了一个月多，老板觉得我不太行 就被开了准确的说是被替了，现在我妈一说 让我找工作 我就烦
有时候真的想s，想结束一切，觉得自己是最垃圾的少有的！
不知道该怎么办了 每一步都很难很迷茫",1
患了焦虑症之后你们还在上学吗？我已经患病三年，退学两年了,3
新一轮焦虑-迅速调整状态！ ​,1
有时还是很怨恨我自己，为什么会那么傻 不早点去看病，大学四年都浪费掉，因为不能学习，什么证都没考下来 四六级没过，以前欠的东西现在都得补上，考四六级 考教师资格证 还要完成自己的实验，还要调整自己的情绪和身体，想想就好累,0
 感觉今天其实很平静，但是高兴不起来,0
我怎么办啊，真的没有一天不焦虑。钱发少了吧，丧，发多了吧，担心由奢入俭难。说闲吧，也没时间。说忙吧，还偷懒。每一秒都走在雾里。别人都要走出舒适圈，每个人都想发展。我每天尽量不碰到自己舒适圈的边边，生怕溜出去。 ​,1
 公婆开始催生，可是我很焦虑身体很不好啊啊，我能怎么办 躯体化症状他们没得过他们不懂啊,2
"焦虑会难受到哭吗？
然后总想吃东西",1
好烦好烦好烦，想到明天要去学校就开始心慌喘不上气,1
"最近挺喜欢发呆，一边想我为什么不能聪明一些，为什么不能记性再好一些，为什么不能更努力一些………
为什么呢为什么呢，其实答案早就有了…因为我并不是我期望的人啊…",0
我果然不喜欢上班，想到要上班就焦虑 ​,1
 就我现在这个状态适合出去旅游吗…机票都订好了却犹豫了…躯体症状太多了…我把我对象也整的每天心力交瘁…,0
